episode,reward,length,global_step
0,-432.275832,135,135
1,-382.26396,102,237
2,-515.275831,100,337
3,-46.225193,143,480
4,-377.381089,118,598
5,-392.285397,111,709
6,-348.466553,124,833
7,-202.026408,70,903
8,-454.196356,115,1018
9,-106.841604,71,1089
10,-462.302681,81,1170
11,-322.774008,88,1258
12,-462.307115,96,1354
13,-441.943567,103,1457
14,-417.938357,92,1549
15,-335.268558,73,1622
16,-132.650721,76,1698
17,-238.797449,96,1794
18,-100.286505,76,1870
19,-58.188931,93,1963
20,-484.687876,176,2139
21,-224.704147,165,2304
22,-371.004453,77,2381
23,-394.160713,133,2514
24,-91.038517,96,2610
25,-84.569457,67,2677
26,-211.644757,101,2778
27,-293.516768,170,2948
28,-97.703775,110,3058
29,-79.284012,104,3162
30,-42.028817,142,3304
31,-297.933323,99,3403
32,-31.925104,81,3484
33,-140.341279,184,3668
34,-89.656673,99,3767
35,-92.525751,105,3872
36,-302.856255,103,3975
37,-69.660003,82,4057
38,-231.297189,94,4151
39,-213.989417,140,4291
40,-159.337576,186,4477
41,-57.124723,79,4556
42,-252.338989,93,4649
43,-60.621907,99,4748
44,-208.026793,96,4844
45,-241.93712,145,4989
46,-23.847862,107,5096
47,-258.648982,93,5189
48,-92.667347,170,5359
49,-114.369976,109,5468
50,-248.355131,115,5583
51,-142.618356,97,5680
52,-443.508102,155,5835
53,-140.598304,155,5990
54,-79.584849,87,6077
55,-518.474041,104,6181
56,-110.439759,89,6270
57,-368.225489,197,6467
58,-324.119666,168,6635
59,-94.453269,130,6765
60,-52.160078,84,6849
61,-58.513233,91,6940
62,-283.986728,118,7058
63,-128.889259,124,7182
64,-42.59055,173,7355
65,-33.672216,86,7441
66,-252.693578,143,7584
67,-432.65477,170,7754
68,-158.994171,208,7962
69,-153.407933,71,8033
70,-390.198495,87,8120
71,-412.076727,128,8248
72,-40.851312,82,8330
73,-359.77756,227,8557
74,-83.426425,88,8645
75,-118.266392,116,8761
76,-225.875162,111,8872
77,-282.606247,250,9122
78,-177.168144,113,9235
79,-107.024534,145,9380
80,-66.86817,95,9475
81,-135.02897,170,9645
82,-296.676217,134,9779
83,-117.719818,130,9909
84,-170.073544,239,10148
85,-142.77052,184,10332
86,-86.740328,144,10476
87,-35.833966,115,10591
88,-214.533684,87,10678
89,-286.431645,126,10804
90,-56.822928,108,10912
91,-22.703306,249,11161
92,-175.447737,223,11384
93,-178.339411,96,11480
94,-313.786875,185,11665
95,-159.656063,125,11790
96,-175.823518,164,11954
97,-112.856577,125,12079
98,-226.676288,153,12232
99,-81.028752,171,12403
100,-113.376376,81,12484
101,-242.519481,105,12589
102,-72.395241,81,12670
103,-177.271187,123,12793
104,-55.391826,177,12970
105,-266.560187,178,13148
106,-162.105139,174,13322
107,-117.88394,116,13438
108,-17.914146,163,13601
109,-162.958705,167,13768
110,-67.296002,76,13844
111,-70.129178,110,13954
112,-82.311225,172,14126
113,-117.17161,232,14358
114,-19.978715,164,14522
115,-325.295149,214,14736
116,-153.935051,108,14844
117,-48.3446,1000,15844
118,-86.118095,96,15940
119,-153.957291,142,16082
120,-20.378787,89,16171
121,-219.636759,97,16268
122,-232.281527,186,16454
123,-154.461201,117,16571
124,-311.918916,206,16777
125,-7.23575,132,16909
126,-48.849522,196,17105
127,-310.308466,172,17277
128,14.482337,124,17401
129,15.611653,202,17603
130,-34.749116,178,17781
131,-1.396246,150,17931
132,-29.588993,206,18137
133,-77.164231,170,18307
134,-186.693752,170,18477
135,-148.763223,143,18620
136,-110.972485,142,18762
137,12.537233,1000,19762
138,-43.945604,192,19954
139,-186.879563,105,20059
140,-271.343649,160,20219
141,-99.825016,166,20385
142,-95.77637,167,20552
143,-23.672046,107,20659
144,-93.568895,86,20745
145,-95.145232,90,20835
146,-41.105048,167,21002
147,-101.508764,107,21109
148,-146.019479,130,21239
149,-75.500308,159,21398
150,-122.446664,125,21523
151,-95.351817,83,21606
152,-84.265,120,21726
153,-124.169647,160,21886
154,-70.195208,200,22086
155,-78.03374,77,22163
156,-249.458357,134,22297
157,-58.556341,185,22482
